scenario_id,renewable_correlation_case,co2_baseline_frac,ldes_duration_hours,ldes_capex_per_mw,transmission_capex_per_mw,co2_cap_tons,solver_status,solver_condition,objective,backup_mw,solar_mw,wind_mw,battery4h_mw,ldes_mw,battery4h_mwh,ldes_mwh,transmission_mw,vres_available_mwh,vres_dispatched_mwh,vres_curtailment_mwh,total_load_mwh,system_cost_per_mwh,total_generation_mwh,generator_capex_total,backup_capex,solar_capex,wind_capex,storage_capex_total,battery4h_capex,ldes_capex,transmission_capex_total,transmission_capex,wind_opex,solar_opex,backup_opex,generator_opex_total,total_capex,total_opex,reconstructed_total_cost,cost_reconstruction_error
corr_high_co2frac_0.05,high,0.05,100,1800000,400000,6576567.936596976,ok,optimal,39533104164.03436,15530.349998494028,73856.00219865415,111331.18400243651,639.2400924025106,38836.83894839673,2556.9603696100426,3883683.894839674,26709.97703153087,436097890.82990724,339808796.33987176,96289094.49003547,328828396.82984877,120.22411855290784,356250216.1813643,29670958296.632393,933814878.8999683,11172040670.806356,17565102746.926064,8107205207.691105,110417866.62299679,7996787341.0681095,1015076766.8398634,1015076766.8398634,0.0,0.0,739863892.867164,739863892.867164,38793240271.16337,739863892.867164,39533104164.03053,0.0038299560546875
corr_high_co2frac_0.1,high,0.1,100,1800000,400000,13153135.873193951,ok,optimal,35609765013.66046,24973.250439178883,60020.269205726916,99860.21099618591,0.0,32185.806460527936,0.0,3218580.6460527936,30700.148258903777,385429106.214594,317811473.7957186,67617632.4188754,328828396.82984877,108.29285231131247,350694313.47870356,26336027945.007923,1501601241.2380774,9079138711.509441,15755287992.260405,6627291423.166748,0.0,6627291423.166748,1166717859.748246,1166717859.748246,0.0,0.0,1479727785.734324,1479727785.734324,34130037227.922916,1479727785.734324,35609765013.65724,0.0032196044921875
corr_high_co2frac_0.2,high,0.2,100,1800000,400000,26306271.746387903,ok,optimal,30280917431.55846,37513.92416737694,47672.30271195565,78125.27326082684,0.0,21594.10668634094,0.0,2159410.668634094,28472.164197408267,304508921.83658403,276424261.70986664,28084660.12671739,328828396.82984877,92.08729453869894,342189941.07583684,21793032062.392586,2255651711.443634,7211288032.303837,12326092318.645119,4446383476.792572,0.0,4446383476.792572,1082046320.905519,1082046320.905519,0.0,0.0,2959455571.4686594,2959455571.4686594,27321461860.090675,2959455571.4686594,30280917431.559334,-0.000873565673828125
corr_low_co2frac_0.05,low,0.05,100,1800000,400000,6576567.936596976,ok,optimal,35230777686.61704,23849.945026093606,58535.39397254036,109473.01510615388,401.5709920676404,27392.802939926038,1606.2839682705617,2739280.2939926037,32119.423369426462,374483993.84827244,334585132.323601,39898861.524671435,328828396.82984877,107.1403139943753,351026552.16509384,27560516553.8449,1434058699.802139,8854524787.083736,17271933066.959023,5709741737.728241,69364567.03636988,5640377170.691871,1220655502.1784494,1220655502.1784494,0.0,0.0,739863892.8671768,739863892.8671768,34490913793.75159,739863892.8671768,35230777686.61877,-0.0017242431640625
corr_low_co2frac_0.1,low,0.1,100,1800000,400000,13153135.873193951,ok,optimal,32857953334.507305,30085.405132933753,49988.92135296347,102130.62053207928,0.0,22967.985722949536,0.0,2296798.5722949537,30648.29470733018,339509979.7188971,313616407.2215802,25893572.497316897,328828396.82984877,99.92431812849044,346499246.904566,25484203160.039513,1808986851.783205,7561718016.402803,16113498291.853508,4729275153.499541,0.0,4729275153.499541,1164747235.2352276,1164747235.2352276,0.0,0.0,1479727785.734358,1479727785.734358,31378225548.774284,1479727785.734358,32857953334.508644,-0.001338958740234375
corr_low_co2frac_0.2,low,0.2,100,1800000,400000,26306271.746387903,ok,optimal,29876974412.114735,40890.49901521031,40891.816673326684,91271.44978228051,0.0,13483.600917396718,0.0,1348360.0917396718,28856.164806148423,295902262.6335939,270459259.4939857,25443003.139608204,328828396.82984877,90.85886346845672,336224938.8599539,23044507687.583336,2458679707.1379967,6185618302.880304,14400209677.565037,2776371405.291822,0.0,2776371405.291822,1096639747.7708569,1096639747.7708569,0.0,0.0,2959455571.4685698,2959455571.4685698,26917518840.64601,2959455571.4685698,29876974412.114582,0.000152587890625
