name,bus0,bus1,type,carrier,efficiency,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_set,p_init,p_min_pu,p_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt
tx_Region1_Region2,Region1,Region2,,transmission,0.97,True,0,inf,0.0,0.0,True,0.0,inf,,,,-1.0,1.0,38003.65554944413,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,15615.446610547768
tx_Region1_Region3,Region1,Region3,,transmission,0.97,True,0,inf,0.0,0.0,True,0.0,inf,,,,-1.0,1.0,38003.65554944413,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,1660.510483880287
tx_Region2_Region3,Region2,Region3,,transmission,0.97,True,0,inf,0.0,0.0,True,0.0,inf,,,,-1.0,1.0,38003.65554944413,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,9306.557791584526
