scenario_id,renewable_correlation_case,ldes_duration_hours,ldes_capex_per_mw,transmission_capex_per_mw,co2_cap_tons,solver_status,solver_condition,objective,backup_mw,solar_mw,wind_mw,battery4h_mw,ldes_mw,battery4h_mwh,ldes_mwh,transmission_mw,vres_available_mwh,vres_dispatched_mwh,vres_curtailment_mwh,total_load_mwh,system_cost_per_mwh,total_generation_mwh,generator_capex_total,backup_capex,solar_capex,wind_capex,storage_capex_total,battery4h_capex,ldes_capex,transmission_capex_total,transmission_capex,wind_opex,solar_opex,backup_opex,generator_opex_total,total_capex,total_opex,reconstructed_total_cost,cost_reconstruction_error
corr_high_dur_10h,high,10,1800000,400000,6576567.936596976,ok,optimal,50977412996.89424,17625.901022227263,155164.7682882427,62201.66508338699,32876.03918472799,45773.621485574426,131504.15673891196,457736.2148557442,20751.120173214866,458609509.874353,341415977.16132385,117193532.71302915,328828396.82984877,155.02740483594044,357857397.0028165,34345032135.55375,1059816979.6669123,23471445114.640667,9813770041.246168,15103898545.146044,5678777274.66747,9425121270.478573,788618423.3279791,788618423.3279791,0.0,0.0,739863892.8671689,739863892.8671689,50237549104.02777,739863892.8671689,50977412996.89494,-0.000701904296875
corr_high_dur_24h,high,24,1800000,400000,6576567.936596976,ok,optimal,45566517451.062935,19140.1869379387,120927.00198096874,88288.54978424276,0.0,50719.890839560925,0.0,1217277.3801494623,26582.51488601258,465378395.5447955,342729311.07624394,122649084.46855158,328828396.82984877,138.57233101021134,359170730.91773635,33372826747.10077,1150868547.670024,18292370885.391384,13929587314.039358,10443594071.728668,0.0,10443594071.728668,1010232739.3659931,1010232739.3659931,0.0,0.0,739863892.8671566,739863892.8671566,44826653558.19543,739863892.8671566,45566517451.062584,0.0003509521484375
corr_high_dur_72h,high,72,1800000,400000,6576567.936596976,ok,optimal,40281284363.3086,16916.609330568375,86338.04530650954,100008.38496944154,0.0,40996.01247393023,0.0,2951712.898122976,32734.652366758615,437055033.45787185,341389595.6489058,95665437.80896604,328828396.82984877,122.49940927137149,357831015.49039835,29856007158.106617,1017168415.0682119,13060172834.80615,15778665908.232254,8441376859.259789,0.0,8441376859.259789,1244036453.0770903,1244036453.0770903,0.0,0.0,739863892.8671644,739863892.8671644,39541420470.4435,739863892.8671644,40281284363.31066,-0.0020599365234375
corr_high_dur_100h,high,100,1800000,400000,6576567.936596976,ok,optimal,39533104164.03436,15530.349998494028,73856.00219865415,111331.18400243651,639.2400924025106,38836.83894839673,2556.9603696100426,3883683.894839674,26709.97703153087,436097890.82990724,339808796.33987176,96289094.49003547,328828396.82984877,120.22411855290784,356250216.1813643,29670958296.632393,933814878.8999683,11172040670.806356,17565102746.926064,8107205207.691105,110417866.62299679,7996787341.0681095,1015076766.8398634,1015076766.8398634,0.0,0.0,739863892.867164,739863892.867164,38793240271.16337,739863892.867164,39533104164.03053,0.0038299560546875
corr_low_dur_10h,low,10,1800000,400000,6576567.936596976,ok,optimal,41868300757.30046,19745.849004896074,85758.89742092621,115416.28247130237,0.0,35833.74965113438,0.0,358337.4965113438,36326.302663852905,437492105.848486,328240540.83403575,109251565.01445025,328828396.82984877,127.32568464567579,344681960.6755281,32369475137.314247,1187286030.1971366,12972566363.571152,18209622743.54596,7378429433.300332,0.0,7378429433.300332,1380532293.8219204,1380532293.8219204,0.0,0.0,739863892.8671565,739863892.8671565,41128436864.4365,739863892.8671565,41868300757.30366,-0.00319671630859375
corr_low_dur_24h,low,24,1800000,400000,6576567.936596976,ok,optimal,38202615763.686554,19288.125191080635,71822.47250568357,111817.3294187259,0.0,31509.747027513607,0.0,756233.9286603266,34435.25668339972,402638986.6000507,331158414.1888204,71480572.41123027,328828396.82984877,116.17797043074226,347599834.0303131,29666000363.63829,1159763836.054111,10864432950.93476,17641803576.64942,6488085873.432843,0.0,6488085873.432843,1308665633.7526166,1308665633.7526166,0.0,0.0,739863892.8671702,739863892.8671702,37462751870.82375,739863892.8671702,38202615763.690926,-0.00437164306640625
corr_low_dur_72h,low,72,1800000,400000,6576567.936596976,ok,optimal,35576609067.39377,23527.665475954276,58706.78648960253,111405.6170217845,562.5728882821294,27447.497238333613,2250.2915531285175,1976219.8011600203,31995.693668176464,378653417.4523935,333833463.7466849,44819953.70570856,328828396.82984877,108.19202176691198,350274883.5881777,27871977819.610508,1414680550.6223412,8880450969.307085,17576846299.681084,5748814033.686373,97174909.52513082,5651639124.161242,1215953321.2309086,1215953321.2309086,0.0,0.0,739863892.8671737,739863892.8671737,34836745174.527794,739863892.8671737,35576609067.394966,-0.00119781494140625
corr_low_dur_100h,low,100,1800000,400000,6576567.936596976,ok,optimal,35230777686.61704,23849.945026093606,58535.39397254036,109473.01510615388,401.5709920676404,27392.802939926038,1606.2839682705617,2739280.2939926037,32119.423369426462,374483993.84827244,334585132.323601,39898861.524671435,328828396.82984877,107.1403139943753,351026552.16509384,27560516553.8449,1434058699.802139,8854524787.083736,17271933066.959023,5709741737.728241,69364567.03636988,5640377170.691871,1220655502.1784494,1220655502.1784494,0.0,0.0,739863892.8671768,739863892.8671768,34490913793.75159,739863892.8671768,35230777686.61877,-0.0017242431640625
